Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Plastic,173,Recycling,Kolkata,2023
Plastic,97,Recycling,Mumbai,2023
Paper,101,Recycling,Bhopal,2022
Plastic,82,Recycling,Mumbai,2023
Plastic,80,Recycling,Bangalore,2023
Organic,193,Composting,Ahmedabad,2023
Organic,138,Composting,Ahmedabad,2023
Plastic,93,Landfill,Delhi,2021
Plastic,87,Recycling,Mumbai,2021
Plastic,154,Recycling,Luckhnow,2023
Plastic,103,Landfill,Delhi,2023
Organic,165,Composting,Bhubaneshwar,2023
Organic,132,Composting,Bhubaneshwar,2023
Organic,198,Composting,Ahmedabad,2022
Paper,185,Recycling,Kolkata,2023
Paper,80,Recycling,Luckhnow,2021
Plastic,83,Recycling,Bangalore,2023
Organic,129,Composting,Bhubaneshwar,2023
Plastic,97,Recycling,Kolkata,2023
Organic,140,Composting,Bhubaneshwar,2023
Organic,199,Composting,Pune,2022
Plastic,94,Recycling,Delhi,2023
Organic,200,Composting,Ahmedabad,2023
Organic,158,Composting,Ahmedabad,2023
Plastic,85,Recycling,Mumbai,2023
Plastic,111,Landfill,Bhopal,2021
Plastic,92,Recycling,Mumbai,2023
Plastic,107,Landfill,Bhopal,2021
Plastic,153,Recycling,Kolkata,2023
Organic,196,Composting,Pune,2023
Paper,127,Recycling,Kolkata,2023
Plastic,88,Recycling,Kolkata,2021
Plastic,117,Recycling,Mumbai,2023
Paper,148,Recycling,Luckhnow,2023
Plastic,93,Recycling,Mumbai,2021
Plastic,91,Recycling,Mumbai,2023
Organic,199,Composting,Pune,2022
Plastic,97,Recycling,Mumbai,2023
Organic,156,Composting,Bhubaneshwar,2022
Plastic,104,Landfill,Delhi,2021
Plastic,100,Recycling,Mumbai,2022
Organic,131,Composting,Bhubaneshwar,2023
Organic,170,Composting,Pune,2023
Paper,94,Recycling,Kolkata,2022
Plastic,115,Recycling,Mumbai,2021
Organic,186,Composting,Ahmedabad,2023
Plastic,98,Recycling,Mumbai,2023
Paper,98,Landfill,Delhi,2022
Paper,86,Recycling,Luckhnow,2023
Plastic,80,Recycling,Luckhnow,2023
Organic,162,Composting,Ahmedabad,2023
Plastic,95,Recycling,Bangalore,2023
Paper,100,Recycling,Bangalore,2023
Paper,101,Landfill,Bhopal,2022
Plastic,97,Landfill,Mumbai,2021
Organic,186,Composting,Pune,2023
Plastic,102,Landfill,Delhi,2022
Organic,190,Composting,Ahmedabad,2023
Organic,183,Composting,Pune,2022
Paper,89,Recycling,Bhopal,2021
Organic,174,Composting,Ahmedabad,2023
Paper,131,Recycling,Kolkata,2023
Organic,200,Composting,Pune,2022
Paper,123,Recycling,Luckhnow,2021
Organic,133,Composting,Luckhnow,2023
Plastic,115,Landfill,Delhi,2021
Organic,111,Composting,Pune,2023
Plastic,84,Recycling,Mumbai,2023
Plastic,125,Landfill,Delhi,2021
Paper,145,Recycling,Kolkata,2023
Organic,143,Composting,Ahmedabad,2023
Organic,200,Composting,Kolkata,2023
Organic,194,Composting,Pune,2022
Plastic,89,Recycling,Bangalore,2023
Plastic,93,Recycling,Mumbai,2023
Organic,200,Composting,Pune,2023
Paper,88,Recycling,Bangalore,2023
Plastic,80,Landfill,Bangalore,2021
Organic,172,Composting,Ahmedabad,2023
Plastic,104,Landfill,Delhi,2021
Organic,194,Composting,Ahmedabad,2023
Plastic,88,Recycling,Mumbai,2023
Paper,142,Recycling,Kolkata,2023
Organic,200,Composting,Pune,2023
Organic,145,Composting,Ahmedabad,2023
Paper,80,Recycling,Kolkata,2022
Organic,140,Composting,Ahmedabad,2023
Plastic,95,Recycling,Mumbai,2023
Paper,92,Recycling,Luckhnow,2021
Paper,137,Recycling,Bhopal,2023
Paper,80,Recycling,Luckhnow,2022
Plastic,89,Landfill,Bangalore,2021
Plastic,96,Recycling,Mumbai,2021
Plastic,101,Recycling,Kolkata,2023
Organic,179,Composting,Ahmedabad,2023
Plastic,105,Landfill,Delhi,2021
Plastic,80,Recycling,Mumbai,2023
Plastic,85,Landfill,Delhi,2023
Organic,177,Recycling,Pune,2023
Paper,80,Recycling,Luckhnow,2021
Plastic,98,Landfill,Delhi,2021
Plastic,107,Recycling,Bangalore,2023
Paper,85,Recycling,Bhopal,2021
Plastic,107,Recycling,Mumbai,2021
Paper,183,Composting,Ahmedabad,2023
Paper,80,Recycling,Kolkata,2022
Organic,179,Composting,Pune,2023
Plastic,80,Recycling,Bangalore,2023
Plastic,93,Recycling,Mumbai,2023
Organic,185,Composting,Ahmedabad,2023
Plastic,96,Landfill,Delhi,2023
Organic,164,Composting,Ahmedabad,2023
Paper,103,Recycling,Bhopal,2023
Organic,150,Composting,Bhubaneshwar,2023
Paper,129,Composting,Bhubaneshwar,2023
Plastic,82,Recycling,Mumbai,2021
Plastic,101,Landfill,Bangalore,2023
Plastic,86,Recycling,Ahmedabad,2023
Organic,150,Composting,Ahmedabad,2023
Paper,80,Recycling,Luckhnow,2021
Paper,184,Recycling,Kolkata,2023
Plastic,96,Recycling,Mumbai,2021
Paper,94,Landfill,Bhopal,2022
Plastic,95,Recycling,Bangalore,2023
Paper,80,Recycling,Bangalore,2021
Organic,200,Composting,Pune,2023
Paper,126,Recycling,Kolkata,2023
Paper,115,Landfill,Delhi,2022
Paper,184,Recycling,Delhi,2023
Organic,173,Composting,Ahmedabad,2023
Paper,103,Landfill,Bhopal,2022
Paper,93,Recycling,Bhubaneshwar,2023
Plastic,100,Landfill,Mumbai,2021
Organic,179,Composting,Pune,2022
Paper,159,Recycling,Kolkata,2021
Organic,193,Composting,Pune,2021
Organic,164,Composting,Ahmedabad,2023
Plastic,99,Recycling,Mumbai,2022
Organic,187,Composting,Ahmedabad,2023
Plastic,101,Recycling,Kolkata,2023
Organic,173,Composting,Pune,2023
Plastic,118,Landfill,Bhopal,2021
Plastic,80,Recycling,Mumbai,2023
Paper,106,Recycling,Mumbai,2022
Paper,80,Recycling,Luckhnow,2021
Paper,98,Landfill,Luckhnow,2021
Paper,167,Landfill,Bhopal,2022
Plastic,103,Recycling,Delhi,2021
Plastic,108,Composting,Bhopal,2022
Paper,80,Recycling,Kolkata,2023
Paper,114,Recycling,Bhopal,2021
Paper,94,Recycling,Bhopal,2021
Plastic,106,Landfill,Delhi,2021
Plastic,83,Recycling,Mumbai,2023
Plastic,84,Recycling,Mumbai,2021
Paper,88,Recycling,Luckhnow,2021
Organic,149,Recycling,Kolkata,2023
Paper,97,Landfill,Kolkata,2023
Organic,155,Composting,Bhubaneshwar,2023
Plastic,94,Recycling,Luckhnow,2023
Paper,94,Recycling,Luckhnow,2021
Paper,80,Recycling,Luckhnow,2022
Plastic,162,Composting,Ahmedabad,2023
Paper,159,Recycling,Kolkata,2023
Organic,144,Composting,Ahmedabad,2023
Plastic,89,Recycling,Bangalore,2023
Paper,94,Recycling,Kolkata,2023
Organic,157,Composting,Ahmedabad,2023
Plastic,84,Recycling,Bangalore,2022
Paper,182,Recycling,Kolkata,2022
Plastic,104,Landfill,Delhi,2022
Plastic,85,Recycling,Mumbai,2023
Paper,97,Landfill,Bhopal,2022
Plastic,164,Recycling,Mumbai,2023
Plastic,112,Landfill,Bhopal,2021
Paper,92,Recycling,Ahmedabad,2023
Plastic,95,Landfill,Bangalore,2021
Organic,194,Landfill,Pune,2022
Paper,83,Recycling,Kolkata,2023
Plastic,88,Recycling,Bangalore,2023
Paper,80,Recycling,Bangalore,2021
Paper,123,Recycling,Luckhnow,2023
Plastic,113,Landfill,Bhopal,2023
Organic,131,Composting,Ahmedabad,2023
Paper,90,Landfill,Bhopal,2023
Plastic,167,Recycling,Delhi,2023
Organic,146,Composting,Pune,2022
Plastic,80,Recycling,Luckhnow,2023
Paper,80,Recycling,Luckhnow,2022
Organic,184,Composting,Pune,2022
Organic,200,Composting,Pune,2022
Organic,170,Composting,Ahmedabad,2023
Plastic,146,Recycling,Mumbai,2021
Paper,82,Recycling,Luckhnow,2023
Plastic,80,Recycling,Luckhnow,2023
Paper,80,Recycling,Kolkata,2023
Plastic,86,Recycling,Mumbai,2023
Organic,179,Composting,Ahmedabad,2023
Organic,151,Composting,Pune,2023
Paper,102,Recycling,Kolkata,2023
Paper,87,Recycling,Kolkata,2023
Organic,191,Composting,Bhubaneshwar,2022
Organic,162,Composting,Pune,2023
Paper,124,Landfill,Bhopal,2021
Paper,108,Landfill,Bhopal,2021
Organic,126,Composting,Bhubaneshwar,2023
Plastic,110,Landfill,Delhi,2022
Organic,166,Composting,Ahmedabad,2023
Plastic,82,Recycling,Mumbai,2023
Paper,80,Recycling,Bhopal,2021
Organic,149,Composting,Ahmedabad,2023
Paper,84,Recycling,Luckhnow,2023
Plastic,114,Recycling,Delhi,2023
Organic,175,Composting,Ahmedabad,2023
Paper,88,Landfill,Delhi,2021
Paper,99,Recycling,Mumbai,2021
Organic,200,Composting,Bhubaneshwar,2022
Organic,153,Composting,Bhubaneshwar,2022
Plastic,103,Recycling,Delhi,2023
Plastic,113,Recycling,Luckhnow,2021
Plastic,110,Recycling,Bangalore,2023
Organic,136,Composting,Bhubaneshwar,2023
Plastic,117,Landfill,Bhopal,2023
Organic,174,Composting,Ahmedabad,2022
Organic,170,Composting,Pune,2023
Organic,172,Composting,Pune,2022
Organic,200,Composting,Ahmedabad,2023
Organic,173,Composting,Bhubaneshwar,2023
Paper,91,Recycling,Kolkata,2022
Plastic,80,Recycling,Luckhnow,2021
Organic,160,Composting,Bhubaneshwar,2022
Plastic,113,Landfill,Delhi,2021
Paper,80,Recycling,Luckhnow,2021
Paper,162,Composting,Kolkata,2023
Paper,110,Landfill,Bhopal,2023
Paper,80,Recycling,Bangalore,2023
Paper,98,Landfill,Luckhnow,2021
Organic,173,Composting,Ahmedabad,2023
Plastic,98,Landfill,Delhi,2021
Organic,193,Composting,Ahmedabad,2023
Organic,200,Composting,Pune,2022
Organic,139,Composting,Ahmedabad,2023
Organic,167,Composting,Pune,2023
Plastic,80,Recycling,Luckhnow,2023
Paper,96,Recycling,Bangalore,2023
Plastic,104,Recycling,Mumbai,2023
Plastic,104,Landfill,Delhi,2021
Paper,83,Recycling,Luckhnow,2021
Paper,93,Recycling,Luckhnow,2021
Paper,81,Landfill,Bhopal,2022
Organic,200,Composting,Pune,2022
Paper,89,Recycling,Luckhnow,2021
Plastic,96,Landfill,Delhi,2021
Paper,80,Recycling,Luckhnow,2021
Plastic,81,Recycling,Mumbai,2023
Plastic,119,Recycling,Delhi,2021
Paper,144,Landfill,Kolkata,2021
Organic,161,Composting,Ahmedabad,2022
Plastic,96,Recycling,Bhopal,2023
Paper,90,Recycling,Kolkata,2023
Paper,90,Landfill,Bhopal,2022
Paper,82,Recycling,Kolkata,2023
Organic,154,Composting,Ahmedabad,2023
Organic,149,Composting,Kolkata,2023
Organic,122,Composting,Bhubaneshwar,2023
Paper,106,Recycling,Luckhnow,2023
Organic,146,Composting,Pune,2023
Plastic,96,Recycling,Bangalore,2023
Paper,95,Recycling,Bhopal,2023
Organic,193,Composting,Pune,2021
Organic,178,Composting,Pune,2023
Paper,91,Landfill,Bhopal,2022
Paper,80,Recycling,Mumbai,2023
Paper,97,Recycling,Mumbai,2023
Plastic,86,Landfill,Bhubaneshwar,2021
Organic,137,Composting,Ahmedabad,2023
Organic,170,Composting,Pune,2022
Organic,173,Composting,Bhubaneshwar,2023
Organic,182,Composting,Bhubaneshwar,2022
Organic,178,Composting,Pune,2021
Paper,96,Landfill,Luckhnow,2021
Organic,105,Landfill,Bhopal,2021
Plastic,101,Recycling,Mumbai,2023
Organic,200,Composting,Pune,2022
Paper,80,Landfill,Luckhnow,2021
Paper,161,Recycling,Kolkata,2023
Paper,150,Recycling,Kolkata,2023
Organic,188,Composting,Kolkata,2023
Plastic,140,Recycling,Kolkata,2023
Plastic,84,Recycling,Mumbai,2023
Plastic,152,Recycling,Mumbai,2023
Plastic,103,Recycling,Bangalore,2023
Plastic,87,Recycling,Mumbai,2023
Plastic,87,Landfill,Delhi,2021
Organic,176,Composting,Pune,2023
Organic,133,Composting,Bhubaneshwar,2023
Plastic,95,Recycling,Delhi,2021
Organic,185,Composting,Pune,2022
Organic,177,Composting,Pune,2023
Organic,107,Composting,Ahmedabad,2023
