Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Organic,98,Recycling,Lucknow,2020
Plastic,72,Landfill,Pune,2021
Organic,52,Recycling,Delhi,2021
Organic,169,Recycling,Visakhapatnam,2022
Organic,93,Recycling,Kalyan-Dombivli,2020
Plastic,228,Composting,Vasai-Virar,2020
Plastic,104,Recycling,Agra,2021
Plastic,199,Composting,Ahmedabad,2023
Plastic,158,Composting,Kalyan-Dombivli,2021
Plastic,153,Landfill,Nagpur,2023
Plastic,190,Composting,Varanasi,2020
Plastic,204,Composting,Bhopal,2022
Organic,133,Recycling,Kalyan-Dombivli,2020
Paper,238,Composting,Surat,2020
Paper,291,Landfill,Ghaziabad,2022
Plastic,152,Recycling,Agra,2020
Organic,69,Landfill,Visakhapatnam,2024
Organic,208,Recycling,Kolkata,2022
Organic,146,Composting,Nashik,2021
Plastic,98,Composting,Lucknow,2023
Plastic,106,Composting,Pune,2020
Plastic,182,Composting,Indore,2023
Plastic,180,Recycling,Jaipur,2022
Paper,291,Composting,Vasai-Virar,2022
Paper,283,Recycling,Agra,2020
Paper,168,Landfill,Faridabad,2024
Paper,239,Recycling,Jaipur,2020
Organic,186,Recycling,Pune,2022
Paper,240,Composting,Jaipur,2020
Paper,274,Composting,Bangalore,2021
Organic,148,Recycling,Vadodara,2020
Organic,121,Recycling,Vadodara,2020
Plastic,226,Composting,Thane,2021
Organic,201,Recycling,Meerut,2020
Paper,198,Composting,Lucknow,2020
Organic,136,Composting,Vadodara,2021
Paper,247,Composting,Chennai,2023
Paper,121,Composting,Hyderabad,2020
Organic,105,Landfill,Meerut,2023
Organic,195,Recycling,Meerut,2020
Organic,291,Recycling,Varanasi,2022
Plastic,80,Composting,Pune,2022
Plastic,127,Composting,Faridabad,2020
Plastic,179,Recycling,Meerut,2020
Organic,59,Composting,Visakhapatnam,2020
Plastic,274,Recycling,Jaipur,2021
Paper,212,Composting,Kalyan-Dombivli,2020
Organic,230,Recycling,Agra,2020
Paper,228,Recycling,Bangalore,2023
Plastic,266,Composting,Visakhapatnam,2020
Plastic,103,Recycling,Faridabad,2022
Organic,141,Landfill,Meerut,2020
Paper,120,Recycling,Surat,2020
Plastic,164,Landfill,Pune,2020
Organic,57,Recycling,Kalyan-Dombivli,2020
Organic,210,Recycling,Thane,2022
Organic,227,Recycling,Kalyan-Dombivli,2020
Paper,140,Landfill,Surat,2021
Plastic,272,Composting,Bhopal,2021
Organic,135,Composting,Nashik,2024
Organic,65,Recycling,Varanasi,2020
Plastic,199,Composting,Nagpur,2020
Paper,108,Composting,Pune,2020
Organic,236,Recycling,Vasai-Virar,2020
Paper,129,Composting,Nashik,2021
Plastic,191,Landfill,Faridabad,2020
Paper,235,Composting,Thane,2022
Plastic,61,Recycling,Kanpur,2021
Plastic,160,Recycling,Pimpri-Chinchwad,2021
Plastic,182,Recycling,Jaipur,2021
Plastic,188,Composting,Kolkata,2022
Organic,256,Recycling,Nagpur,2022
Paper,291,Recycling,Agra,2020
Paper,90,Composting,Vasai-Virar,2023
Plastic,186,Composting,Surat,2021
Paper,119,Composting,Ghaziabad,2020
Organic,128,Composting,Visakhapatnam,2020
Organic,199,Recycling,Ludhiana,2020
Paper,244,Composting,Kanpur,2020
Organic,95,Recycling,Ghaziabad,2020
Plastic,163,Recycling,Hyderabad,2023
Plastic,89,Composting,Indore,2022
Paper,120,Composting,Hyderabad,2021
Plastic,52,Composting,Hyderabad,2020
Paper,230,Landfill,Ludhiana,2021
Plastic,79,Recycling,Indore,2022
Organic,208,Landfill,Indore,2023
Plastic,209,Composting,Bhopal,2022
Plastic,150,Composting,Pune,2021
Plastic,52,Composting,Jaipur,2023
Organic,279,Recycling,Kolkata,2020
Organic,271,Recycling,Ahmedabad,2021
Plastic,52,Recycling,Rajkot,2023
Plastic,174,Composting,Vadodara,2020
Plastic,187,Recycling,Mumbai,2022
Organic,102,Composting,Bangalore,2023
Organic,215,Recycling,Ludhiana,2020
Paper,133,Recycling,Nashik,2020
Organic,212,Composting,Nagpur,2020
Organic,268,Recycling,Kanpur,2021
Paper,99,Composting,Meerut,2022
Paper,283,Recycling,Faridabad,2022
Organic,125,Recycling,Kalyan-Dombivli,2021
Organic,111,Recycling,Kalyan-Dombivli,2021
Plastic,52,Composting,Nagpur,2023
Plastic,144,Recycling,Surat,2020
Plastic,188,Composting,Agra,2024
Organic,176,Recycling,Ahmedabad,2022
Paper,52,Landfill,Bangalore,2022
Plastic,280,Composting,Pune,2021
Organic,205,Composting,Faridabad,2020
Plastic,209,Composting,Kanpur,2020
Paper,253,Recycling,Kalyan-Dombivli,2022
Organic,111,Recycling,Ludhiana,2020
Organic,170,Recycling,Ludhiana,2020
Plastic,190,Recycling,Pimpri-Chinchwad,2020
Paper,244,Landfill,Vasai-Virar,2020
Plastic,91,Composting,Nagpur,2021
Plastic,124,Recycling,Chennai,2023
Paper,133,Composting,Pimpri-Chinchwad,2020
Paper,218,Composting,Nashik,2021
Organic,123,Recycling,Agra,2020
Paper,260,Recycling,Pune,2020
Plastic,144,Recycling,Surat,2022
Paper,233,Composting,Rajkot,2021
Paper,111,Composting,Meerut,2020
Organic,164,Recycling,Kolkata,2020
Organic,291,Recycling,Kalyan-Dombivli,2023
Plastic,112,Composting,Meerut,2020
Organic,74,Recycling,Kalyan-Dombivli,2021
Paper,281,Composting,Vasai-Virar,2020
Plastic,202,Composting,Bangalore,2023
Plastic,89,Composting,Pune,2020
Plastic,155,Composting,Rajkot,2020
Organic,208,Recycling,Bhopal,2020
Plastic,52,Recycling,Ahmedabad,2022
Plastic,167,Landfill,Chennai,2022
Paper,198,Recycling,Thane,2023
Plastic,211,Composting,Pune,2022
Organic,52,Recycling,Ahmedabad,2022
Plastic,246,Recycling,Jaipur,2021
Plastic,215,Composting,Agra,2020
Paper,109,Recycling,Hyderabad,2022
Organic,62,Landfill,Bhopal,2022
Plastic,52,Landfill,Surat,2023
Organic,160,Recycling,Vadodara,2020
Plastic,90,Landfill,Ludhiana,2024
Organic,88,Composting,Meerut,2021
Organic,268,Recycling,Hyderabad,2021
Plastic,204,Landfill,Surat,2023
Organic,127,Recycling,Lucknow,2021
Organic,97,Composting,Rajkot,2022
Paper,291,Composting,Lucknow,2021
Organic,193,Recycling,Ludhiana,2020
Paper,71,Composting,Pune,2020
Plastic,282,Composting,Thane,2020
Plastic,67,Composting,Meerut,2020
Plastic,101,Landfill,Chennai,2021
Paper,196,Recycling,Lucknow,2022
Paper,80,Recycling,Vasai-Virar,2024
Organic,86,Recycling,Vadodara,2020
Paper,98,Composting,Delhi,2020
Plastic,157,Composting,Lucknow,2020
Plastic,257,Composting,Lucknow,2020
Organic,237,Recycling,Kalyan-Dombivli,2020
Paper,119,Recycling,Rajkot,2022
Plastic,289,Composting,Pune,2022
Plastic,134,Landfill,Lucknow,2024
Paper,158,Composting,Faridabad,2020
Plastic,189,Composting,Visakhapatnam,2020
Paper,213,Composting,Pune,2023
Organic,273,Landfill,Vasai-Virar,2021
Organic,134,Composting,Lucknow,2023
Plastic,261,Composting,Bangalore,2021
Plastic,105,Composting,Patna,2020
Organic,84,Recycling,Meerut,2023
Plastic,52,Recycling,Kalyan-Dombivli,2020
Paper,195,Recycling,Nagpur,2020
Paper,92,Composting,Surat,2022
Organic,135,Recycling,Nagpur,2020
Plastic,117,Composting,Hyderabad,2024
Organic,173,Recycling,Meerut,2020
Paper,201,Composting,Nagpur,2020
Organic,165,Recycling,Vadodara,2023
Plastic,135,Recycling,Vasai-Virar,2023
Paper,52,Recycling,Lucknow,2020
Paper,117,Recycling,Pimpri-Chinchwad,2024
Plastic,227,Recycling,Thane,2020
Organic,81,Recycling,Varanasi,2022
Organic,237,Recycling,Pimpri-Chinchwad,2022
Organic,189,Recycling,Hyderabad,2022
Organic,77,Recycling,Ludhiana,2020
Paper,250,Recycling,Nagpur,2021
Organic,101,Recycling,Ludhiana,2020
Paper,138,Recycling,Delhi,2021
Organic,218,Recycling,Hyderabad,2020
Organic,150,Recycling,Mumbai,2020
Paper,187,Recycling,Thane,2020
Organic,264,Recycling,Kalyan-Dombivli,2021
Organic,281,Recycling,Ludhiana,2024
Plastic,127,Landfill,Pune,2020
Paper,141,Recycling,Surat,2020
Organic,243,Recycling,Bangalore,2020
Organic,176,Composting,Vadodara,2020
Plastic,103,Landfill,Visakhapatnam,2021
Organic,52,Recycling,Ghaziabad,2020
Paper,153,Composting,Rajkot,2021
Plastic,250,Composting,Lucknow,2022
Organic,52,Landfill,Chennai,2022
Plastic,210,Composting,Surat,2022
Paper,175,Composting,Visakhapatnam,2021
Organic,281,Recycling,Pimpri-Chinchwad,2020
Organic,92,Recycling,Ahmedabad,2021
Paper,238,Recycling,Ludhiana,2021
Organic,260,Recycling,Hyderabad,2022
Organic,91,Recycling,Nagpur,2022
Paper,255,Composting,Surat,2020
Plastic,209,Composting,Ahmedabad,2021
Organic,275,Recycling,Ahmedabad,2020
Organic,212,Recycling,Nashik,2020
Organic,140,Recycling,Thane,2020
Organic,52,Recycling,Varanasi,2020
Organic,225,Recycling,Patna,2020
Organic,234,Recycling,Vadodara,2020
Organic,207,Recycling,Nagpur,2020
Organic,227,Recycling,Faridabad,2020
Paper,136,Composting,Pimpri-Chinchwad,2020
Plastic,163,Composting,Jaipur,2022
Organic,209,Composting,Ahmedabad,2021
Organic,125,Recycling,Indore,2022
Plastic,117,Recycling,Kanpur,2024
Paper,72,Recycling,Thane,2020
Organic,155,Composting,Ludhiana,2020
Organic,118,Recycling,Vadodara,2020
Organic,97,Recycling,Faridabad,2021
Plastic,220,Recycling,Kalyan-Dombivli,2020
Plastic,228,Composting,Thane,2021
Plastic,52,Landfill,Nagpur,2020
Organic,272,Recycling,Kolkata,2022
Paper,144,Recycling,Vadodara,2020
Plastic,113,Composting,Ludhiana,2024
Plastic,217,Landfill,Meerut,2022
Plastic,52,Composting,Bangalore,2020
Plastic,165,Composting,Indore,2020
Plastic,167,Recycling,Meerut,2022
Organic,230,Recycling,Kanpur,2020
Paper,52,Recycling,Hyderabad,2020
Organic,186,Recycling,Bangalore,2022
Plastic,117,Composting,Delhi,2020
Plastic,116,Recycling,Vasai-Virar,2021
Organic,71,Composting,Ahmedabad,2020
Plastic,269,Recycling,Kolkata,2023
Plastic,170,Recycling,Vadodara,2020
Plastic,249,Composting,Visakhapatnam,2020
Plastic,75,Composting,Meerut,2022
Organic,291,Recycling,Vasai-Virar,2020
Plastic,133,Recycling,Lucknow,2020
Plastic,270,Composting,Bangalore,2020
Organic,167,Recycling,Kanpur,2020
